"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"c:\Work\NOGA\src\App.jsx", "JavaScript JSX", 210, 0, 0, 0, 0, 20, 8, 238
"c:\Work\NOGA\src\api\axios.js", "JavaScript", 0, 0, 12, 0, 0, 3, 5, 20
"c:\Work\NOGA\src\assets\admin\admin.svg", "XML", 0, 0, 0, 0, 86, 0, 1, 87
"c:\Work\NOGA\src\assets\admin\admin_acc.svg", "XML", 0, 0, 0, 0, 145, 0, 1, 146
"c:\Work\NOGA\src\assets\admin\branch_accounts.svg", "XML", 0, 0, 0, 0, 391, 0, 1, 392
"c:\Work\NOGA\src\assets\admin\branch_info.svg", "XML", 0, 0, 0, 0, 85, 0, 1, 86
"c:\Work\NOGA\src\assets\admin\branch_statistics.svg", "XML", 0, 0, 0, 0, 184, 0, 1, 185
"c:\Work\NOGA\src\assets\admin\hr.svg", "XML", 0, 0, 0, 0, 266, 0, 1, 267
"c:\Work\NOGA\src\assets\admin\sales_acc.svg", "XML", 0, 0, 0, 0, 471, 0, 1, 472
"c:\Work\NOGA\src\assets\admin\settings.svg", "XML", 0, 0, 0, 0, 221, 0, 1, 222
"c:\Work\NOGA\src\assets\admin\settings_accounts.svg", "XML", 0, 0, 0, 0, 193, 0, 1, 194
"c:\Work\NOGA\src\assets\admin\warehouse.svg", "XML", 0, 0, 0, 0, 149, 0, 1, 150
"c:\Work\NOGA\src\assets\general\error_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Work\NOGA\src\assets\general\no_data.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Work\NOGA\src\assets\general\noga_logo_blue.svg", "XML", 0, 0, 0, 0, 15, 0, 1, 16
"c:\Work\NOGA\src\assets\general\noga_logo_white.svg", "XML", 0, 0, 0, 0, 14, 0, 1, 15
"c:\Work\NOGA\src\assets\general\screen_size.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Work\NOGA\src\assets\general\unauthorized.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Work\NOGA\src\assets\icons\Buttons\ArrowDropDownIcon.jsx", "JavaScript JSX", 17, 0, 0, 0, 0, 0, 2, 19
"c:\Work\NOGA\src\assets\icons\Buttons\add.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\Buttons\back.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\Buttons\correct.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\Buttons\delete.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\Buttons\edit.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\Buttons\filter.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\Buttons\minus.svg", "XML", 0, 0, 0, 0, 10, 0, 1, 11
"c:\Work\NOGA\src\assets\icons\Buttons\reject.svg", "XML", 0, 0, 0, 0, 6, 1, 0, 7
"c:\Work\NOGA\src\assets\icons\Buttons\search.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\Buttons\show.svg", "XML", 0, 0, 0, 0, 12, 0, 1, 13
"c:\Work\NOGA\src\assets\icons\sideBar\admin\admin_branches.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 15
"c:\Work\NOGA\src\assets\icons\sideBar\admin\admin_branches_h.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 15
"c:\Work\NOGA\src\assets\icons\sideBar\admin\admin_employee.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\admin\admin_employee_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\admin\admin_settings.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\admin\admin_settings_h.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\admin\admin_statistics.svg", "XML", 0, 0, 0, 0, 10, 0, 1, 11
"c:\Work\NOGA\src\assets\icons\sideBar\admin\admin_statistics_h.svg", "XML", 0, 0, 0, 0, 10, 0, 1, 11
"c:\Work\NOGA\src\assets\icons\sideBar\branchManager\branch_admin_products_request_log.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\branchManager\branch_admin_products_request_log_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\constants.js", "JavaScript", 0, 0, 130, 0, 0, 0, 5, 135
"c:\Work\NOGA\src\assets\icons\sideBar\hr\hr_manage_employees.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\hr\hr_manage_employees_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\logout.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\logout_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\profile_icon.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\profile_icon_h.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_add_customer.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_add_customer_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_customers.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_customers_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_products.svg", "XML", 0, 0, 0, 0, 10, 0, 1, 11
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_products_h.svg", "XML", 0, 0, 0, 0, 10, 0, 1, 11
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_products_log.svg", "XML", 0, 0, 0, 0, 11, 0, 1, 12
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_products_log_h.svg", "XML", 0, 0, 0, 0, 11, 0, 1, 12
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_sale.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_sale_h.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\sidebar_arrow.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\sidebar_arrow_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\warehouseAdmin\warehouse_admin_manage_requests.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\warehouseAdmin\warehouse_admin_manage_requests_h.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\warehouseAdmin\warehouse_admin_products_log.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\warehouseAdmin\warehouse_admin_products_log_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\warehouseAdmin\warehouse_admin_return_products.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\warehouseAdmin\warehouse_admin_return_products_h.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\warehouseAdmin\warehouse_admin_send_products.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\warehouseAdmin\warehouse_admin_send_products_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\login\img.svg", "XML", 0, 0, 0, 0, 38, 0, 1, 39
"c:\Work\NOGA\src\assets\login\index.js", "JavaScript", 0, 0, 3, 0, 0, 0, 2, 5
"c:\Work\NOGA\src\assets\login\profile_pic.svg", "XML", 0, 0, 0, 0, 16, 0, 1, 17
"c:\Work\NOGA\src\auth\RequireAuth.jsx", "JavaScript JSX", 20, 0, 0, 0, 0, 0, 4, 24
"c:\Work\NOGA\src\auth\useAuth.js", "JavaScript", 0, 0, 6, 0, 0, 0, 3, 9
"c:\Work\NOGA\src\components\actions\LoadingPage.jsx", "JavaScript JSX", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Work\NOGA\src\components\actions\LoadingSpinner.jsx", "JavaScript JSX", 23, 0, 0, 0, 0, 0, 4, 27
"c:\Work\NOGA\src\components\actions\NoDataError.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 5, 19
"c:\Work\NOGA\src\components\buttons\ButtonComponent.jsx", "JavaScript JSX", 127, 0, 0, 0, 0, 1, 7, 135
"c:\Work\NOGA\src\components\buttons\CardButton.jsx", "JavaScript JSX", 26, 0, 0, 0, 0, 0, 4, 30
"c:\Work\NOGA\src\components\inputs\CheckInputComponent.jsx", "JavaScript JSX", 46, 0, 0, 0, 0, 0, 4, 50
"c:\Work\NOGA\src\components\inputs\DateInputComponent.jsx", "JavaScript JSX", 64, 0, 0, 0, 0, 0, 7, 71
"c:\Work\NOGA\src\components\inputs\DropDownComponent.jsx", "JavaScript JSX", 152, 0, 0, 0, 0, 0, 10, 162
"c:\Work\NOGA\src\components\inputs\EmailInputComponent.jsx", "JavaScript JSX", 36, 0, 0, 0, 0, 0, 5, 41
"c:\Work\NOGA\src\components\inputs\FilterDropDown.jsx", "JavaScript JSX", 26, 0, 0, 0, 0, 0, 4, 30
"c:\Work\NOGA\src\components\inputs\FilterInputComponent.jsx", "JavaScript JSX", 26, 0, 0, 0, 0, 0, 4, 30
"c:\Work\NOGA\src\components\inputs\NumberInputComponent.jsx", "JavaScript JSX", 92, 0, 0, 0, 0, 0, 8, 100
"c:\Work\NOGA\src\components\inputs\PassInputComponent.jsx", "JavaScript JSX", 49, 0, 0, 0, 0, 0, 6, 55
"c:\Work\NOGA\src\components\inputs\SearchComponent.jsx", "JavaScript JSX", 35, 0, 0, 0, 0, 0, 4, 39
"c:\Work\NOGA\src\components\inputs\TextAreaComponent.jsx", "JavaScript JSX", 26, 0, 0, 0, 0, 0, 4, 30
"c:\Work\NOGA\src\components\inputs\TextInputComponent.jsx", "JavaScript JSX", 48, 0, 0, 0, 0, 0, 5, 53
"c:\Work\NOGA\src\components\inputs\TextShowBlue.jsx", "JavaScript JSX", 31, 0, 0, 0, 0, 0, 6, 37
"c:\Work\NOGA\src\components\layout\CardBox.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 0, 4, 25
"c:\Work\NOGA\src\components\layout\Nav.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 0, 3, 24
"c:\Work\NOGA\src\components\layout\ScreenSizeAlert.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Work\NOGA\src\components\layout\SideBar.jsx", "JavaScript JSX", 142, 0, 0, 0, 0, 0, 4, 146
"c:\Work\NOGA\src\components\layout\StatisticsBox.jsx", "JavaScript JSX", 41, 0, 0, 0, 0, 0, 5, 46
"c:\Work\NOGA\src\components\layout\SystemAccountsUsers.jsx", "JavaScript JSX", 147, 0, 0, 0, 0, 0, 5, 152
"c:\Work\NOGA\src\components\table\DataTable.jsx", "JavaScript JSX", 130, 0, 0, 0, 0, 148, 14, 292
"c:\Work\NOGA\src\components\table\DataTableAccordion.jsx", "JavaScript JSX", 147, 0, 0, 0, 0, 1, 11, 159
"c:\Work\NOGA\src\components\table\DataTableEditRow.jsx", "JavaScript JSX", 228, 0, 0, 0, 0, 2, 19, 249
"c:\Work\NOGA\src\components\table\DataTablePagination.jsx", "JavaScript JSX", 105, 0, 0, 0, 0, 1, 6, 112
"c:\Work\NOGA\src\components\table\ProductsSalesTable.jsx", "JavaScript JSX", 371, 0, 0, 0, 0, 2, 24, 397
"c:\Work\NOGA\src\components\table\ProductsTable.jsx", "JavaScript JSX", 352, 0, 0, 0, 0, 2, 24, 378
"c:\Work\NOGA\src\components\table\TableAccordion.jsx", "JavaScript JSX", 77, 0, 0, 0, 0, 1, 4, 82
"c:\Work\NOGA\src\components\table\TablePagination.jsx", "JavaScript JSX", 29, 0, 0, 0, 0, 0, 4, 33
"c:\Work\NOGA\src\components\titles\SectionTitle.jsx", "JavaScript JSX", 8, 0, 0, 0, 0, 0, 4, 12
"c:\Work\NOGA\src\components\titles\Title.jsx", "JavaScript JSX", 8, 0, 0, 0, 0, 0, 4, 12
"c:\Work\NOGA\src\constants.js", "JavaScript", 0, 0, 15, 0, 0, 0, 1, 16
"c:\Work\NOGA\src\context\AuthProvider.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 5, 20
"c:\Work\NOGA\src\context\SaleProvider.jsx", "JavaScript JSX", 20, 0, 0, 0, 0, 0, 6, 26
"c:\Work\NOGA\src\data\db.json", "JSON", 0, 0, 0, 542, 0, 0, 1, 543
"c:\Work\NOGA\src\hooks\useAxiosPrivate.js", "JavaScript", 0, 0, 38, 0, 0, 0, 5, 43
