"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Work\NOGA\src\App.jsx", "JavaScript JSX", 0, 200, 0, 0, 0, 43, 8, 251
"c:\Work\NOGA\src\api\axios.js", "JavaScript", 17, 0, 0, 0, 0, 3, 6, 26
"c:\Work\NOGA\src\assets\admin\admin.svg", "XML", 0, 0, 0, 0, 86, 0, 1, 87
"c:\Work\NOGA\src\assets\admin\admin_acc.svg", "XML", 0, 0, 0, 0, 145, 0, 1, 146
"c:\Work\NOGA\src\assets\admin\branch_accounts.svg", "XML", 0, 0, 0, 0, 391, 0, 1, 392
"c:\Work\NOGA\src\assets\admin\branch_info.svg", "XML", 0, 0, 0, 0, 85, 0, 1, 86
"c:\Work\NOGA\src\assets\admin\branch_statistics.svg", "XML", 0, 0, 0, 0, 184, 0, 1, 185
"c:\Work\NOGA\src\assets\admin\hr.svg", "XML", 0, 0, 0, 0, 266, 0, 1, 267
"c:\Work\NOGA\src\assets\admin\sales_acc.svg", "XML", 0, 0, 0, 0, 471, 0, 1, 472
"c:\Work\NOGA\src\assets\admin\settings.svg", "XML", 0, 0, 0, 0, 221, 0, 1, 222
"c:\Work\NOGA\src\assets\admin\settings_accounts.svg", "XML", 0, 0, 0, 0, 193, 0, 1, 194
"c:\Work\NOGA\src\assets\admin\warehouse.svg", "XML", 0, 0, 0, 0, 149, 0, 1, 150
"c:\Work\NOGA\src\assets\general\error_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Work\NOGA\src\assets\general\no_data.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Work\NOGA\src\assets\general\noga_logo_blue.svg", "XML", 0, 0, 0, 0, 15, 0, 1, 16
"c:\Work\NOGA\src\assets\general\noga_logo_white.svg", "XML", 0, 0, 0, 0, 14, 0, 1, 15
"c:\Work\NOGA\src\assets\general\screen_size.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Work\NOGA\src\assets\general\unauthorized.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Work\NOGA\src\assets\icons\Buttons\ArrowDropDownIcon.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 2, 19
"c:\Work\NOGA\src\assets\icons\Buttons\add.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\Buttons\back.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\Buttons\cart.svg", "XML", 0, 0, 0, 0, 5, 0, 1, 6
"c:\Work\NOGA\src\assets\icons\Buttons\correct.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\Buttons\delete.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\Buttons\edit.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\Buttons\filter.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\Buttons\minus.svg", "XML", 0, 0, 0, 0, 10, 0, 1, 11
"c:\Work\NOGA\src\assets\icons\Buttons\reject.svg", "XML", 0, 0, 0, 0, 6, 1, 0, 7
"c:\Work\NOGA\src\assets\icons\Buttons\search.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\Buttons\show.svg", "XML", 0, 0, 0, 0, 12, 0, 1, 13
"c:\Work\NOGA\src\assets\icons\Buttons\x.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\admin\admin_branches.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 15
"c:\Work\NOGA\src\assets\icons\sideBar\admin\admin_branches_h.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 15
"c:\Work\NOGA\src\assets\icons\sideBar\admin\admin_employee.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\admin\admin_employee_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\admin\admin_settings.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\admin\admin_settings_h.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\admin\admin_statistics.svg", "XML", 0, 0, 0, 0, 10, 0, 1, 11
"c:\Work\NOGA\src\assets\icons\sideBar\admin\admin_statistics_h.svg", "XML", 0, 0, 0, 0, 10, 0, 1, 11
"c:\Work\NOGA\src\assets\icons\sideBar\branchManager\branch_admin_products_request_log.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\branchManager\branch_admin_products_request_log_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\constants.js", "JavaScript", 135, 0, 0, 0, 0, 0, 5, 140
"c:\Work\NOGA\src\assets\icons\sideBar\hr\hr_manage_employees.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\hr\hr_manage_employees_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\logout.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\logout_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\profile_icon.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\profile_icon_h.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_add_customer.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_add_customer_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_customers.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_customers_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_products.svg", "XML", 0, 0, 0, 0, 10, 0, 1, 11
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_products_h.svg", "XML", 0, 0, 0, 0, 10, 0, 1, 11
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_products_log.svg", "XML", 0, 0, 0, 0, 11, 0, 1, 12
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_products_log_h.svg", "XML", 0, 0, 0, 0, 11, 0, 1, 12
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_sale.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\sales\sales_sale_h.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\sidebar_arrow.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\sidebar_arrow_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\warehouseAdmin\warehouse_admin_manage_requests.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\warehouseAdmin\warehouse_admin_manage_requests_h.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\warehouseAdmin\warehouse_admin_products_log.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\warehouseAdmin\warehouse_admin_products_log_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\warehouseAdmin\warehouse_admin_return_products.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\warehouseAdmin\warehouse_admin_return_products_h.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\icons\sideBar\warehouseAdmin\warehouse_admin_send_products.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\sideBar\warehouseAdmin\warehouse_admin_send_products_h.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\statistics\fluent-mdl2_product.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Work\NOGA\src\assets\icons\statistics\income.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 2
"c:\Work\NOGA\src\assets\icons\statistics\octicon_heart-16.svg", "XML", 0, 0, 0, 0, 10, 0, 1, 11
"c:\Work\NOGA\src\assets\icons\statistics\person.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 2
"c:\Work\NOGA\src\assets\icons\statistics\streamline_bag-dollar.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Work\NOGA\src\assets\login\img.svg", "XML", 0, 0, 0, 0, 38, 0, 1, 39
"c:\Work\NOGA\src\assets\login\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 2, 5
"c:\Work\NOGA\src\assets\login\profile_pic.svg", "XML", 0, 0, 0, 0, 16, 0, 1, 17
"c:\Work\NOGA\src\auth\RequireAuth.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 4, 24
"c:\Work\NOGA\src\auth\useAuth.js", "JavaScript", 6, 0, 0, 0, 0, 0, 3, 9
"c:\Work\NOGA\src\components\actions\LoadingPage.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Work\NOGA\src\components\actions\LoadingSpinner.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 4, 27
"c:\Work\NOGA\src\components\actions\NoDataError.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 5, 19
"c:\Work\NOGA\src\components\buttons\ButtonComponent.jsx", "JavaScript JSX", 0, 134, 0, 0, 0, 1, 7, 142
"c:\Work\NOGA\src\components\buttons\CardButton.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 4, 30
"c:\Work\NOGA\src\components\charts\BarChartComponent.jsx", "JavaScript JSX", 0, 61, 0, 0, 0, 0, 4, 65
"c:\Work\NOGA\src\components\inputs\CheckInputComponent.jsx", "JavaScript JSX", 0, 46, 0, 0, 0, 0, 4, 50
"c:\Work\NOGA\src\components\inputs\DateInputComponent.jsx", "JavaScript JSX", 0, 64, 0, 0, 0, 0, 7, 71
"c:\Work\NOGA\src\components\inputs\DropDownComponent.jsx", "JavaScript JSX", 0, 152, 0, 0, 0, 0, 10, 162
"c:\Work\NOGA\src\components\inputs\EmailInputComponent.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 0, 5, 41
"c:\Work\NOGA\src\components\inputs\FilterDropDown.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 4, 30
"c:\Work\NOGA\src\components\inputs\FilterInputComponent.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 4, 30
"c:\Work\NOGA\src\components\inputs\NumberInputComponent.jsx", "JavaScript JSX", 0, 92, 0, 0, 0, 0, 8, 100
"c:\Work\NOGA\src\components\inputs\PassInputComponent.jsx", "JavaScript JSX", 0, 49, 0, 0, 0, 0, 6, 55
"c:\Work\NOGA\src\components\inputs\SearchComponent.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 0, 4, 39
"c:\Work\NOGA\src\components\inputs\TextAreaComponent.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 4, 30
"c:\Work\NOGA\src\components\inputs\TextInputComponent.jsx", "JavaScript JSX", 0, 48, 0, 0, 0, 0, 5, 53
"c:\Work\NOGA\src\components\inputs\TextShowBlue.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 6, 37
"c:\Work\NOGA\src\components\layout\CardBox.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 4, 25
"c:\Work\NOGA\src\components\layout\Nav.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 5, 3, 19
"c:\Work\NOGA\src\components\layout\ScreenSizeAlert.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 3, 17
"c:\Work\NOGA\src\components\layout\SideBar.jsx", "JavaScript JSX", 0, 151, 0, 0, 0, 0, 4, 155
"c:\Work\NOGA\src\components\layout\StatisticsBox.jsx", "JavaScript JSX", 0, 57, 0, 0, 0, 0, 5, 62
"c:\Work\NOGA\src\components\layout\SystemAccountsUsers.jsx", "JavaScript JSX", 0, 147, 0, 0, 0, 0, 5, 152
"c:\Work\NOGA\src\components\table\DataTable.jsx", "JavaScript JSX", 0, 130, 0, 0, 0, 148, 14, 292
"c:\Work\NOGA\src\components\table\DataTableAccordion.jsx", "JavaScript JSX", 0, 155, 0, 0, 0, 1, 11, 167
"c:\Work\NOGA\src\components\table\DataTableEditRow.jsx", "JavaScript JSX", 0, 236, 0, 0, 0, 2, 21, 259
"c:\Work\NOGA\src\components\table\DataTablePagination.jsx", "JavaScript JSX", 0, 105, 0, 0, 0, 1, 6, 112
"c:\Work\NOGA\src\components\table\ProductsSalesTable.jsx", "JavaScript JSX", 0, 370, 0, 0, 0, 2, 24, 396
"c:\Work\NOGA\src\components\table\ProductsTable.jsx", "JavaScript JSX", 0, 352, 0, 0, 0, 2, 24, 378
"c:\Work\NOGA\src\components\table\TableAccordion.jsx", "JavaScript JSX", 0, 78, 0, 0, 0, 1, 4, 83
"c:\Work\NOGA\src\components\table\TablePagination.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 4, 33
